YEAR,BUDGET TYPE,CITY AGENCY,"EXPENSE
CATEGORY",DIVISION,CONTRACT DATE,CONTRACT NUMBER,CONSULTANT NAME,DESCRIPTION, EXPENDITURE
2022,Capital,City Manager,Information Technology,Office of the Chief Information Security Officer (CISO),28-Jun-22,6053496,Complytec Inc,To provide consultation to the City to develop the implementation plan to deploy a vulnerability management solution for the City's critical infrastructure.,"  3,714 "
2022,Capital,Corporate Services,Technical ,Corporate Real Estate Management,25-Feb-21,6051802,Revay and Associates Limited,"To provide consulting services relating to project familiarization, schedule review, and development of claim avoidance/mitigation strategy. To provide a claim review report and settlement negotiations as a result of the contractor claiming construction progress delays.","  12,644 "
2022,Capital,Corporate Services,Technical ,Corporate Real Estate Management,17-Dec-21,47023786 / 9433543 / 9494390 / 9425391 / 9505953,Bethune Puttock Consulting Inc,To provide consulting services to the ModernTO Workplace Modernization Program in relation to developing a scope of work (SOP) as well as release and award request for proposal (RFP) for the multi-year ModernTO Workplace Modernization Program (WMP). ,"  241,077 "
2022,Capital,Corporate Services,Technical ,Corporate Real Estate Management,23-Sep-21,9415192,CBCI Telecom,"To provide speciality services to the Corporate Security team to develop the project scope of work for security equipment at the Union Station Security Control Centre.

Services include conducting a detailed physical site assessment, and providing product specifications, drawings, and recommendations based on the current physical environment and existing equipment.",  763 
2022,Capital,Corporate Services,Technical ,Corporate Real Estate Management,21-Jan-20,6050182,Deloitte LLP,"To provide consulting services for the development of the City of Toronto's Workplace Optimization Plan. This will facilitate the transformation of the City's office portfolio into efficient, modern, financial sustainability, and talent attraction/retention. ","  81,284 "
2022,Capital,Corporate Services,Technical ,Corporate Real Estate Management,22-Jul-20,3595446,Stephenson Engineering Ltd.,"To provide consulting services for rehabilitation of the parking stairwell which include, but not limited to the following: 
1. Waterproofing the staircase to reduce water infiltration.
2. Repair/rebuild the concrete staircases (walls, ceiling, steps, hand rails, etc.) as necessary for a safe and sound structure. Provide new slip-resistant painting/sealer to stair treads as appropriate.
3. Review and provide new, as necessary, all existing lighting, exit signage and mechanical permit for Heating, Ventilation, and Air Conditioning (HVAC) to meet applicable current Code requirements.","  7,937 "
2022,Capital,Corporate Services,Technical ,Corporate Real Estate Management,13-Apr-22,47023994 / 9458382,P1 Consulting Inc,To provide advisory services on procurement considerations and provide fairness monitor services for ModernTO Workplace Modernization Program RFSQ and NRFP. ,"  5,450 "
2022,Capital,Corporate Services,Information Technology,Corporate Real Estate Management,16-Oct-20,6051146,Deloitte LLP,"To provide services to build an enterprise architecture to help the Technology Services Division (TSD) achieve the vision of enabling employee mobility and office modernization. These consulting services are required to develop an Enterprise Architecture that re-imagines the operating model of TSD, to understand the current state, identify gaps and provide a strategy for how to achieve the new vision. ","  44,756 "
2022,Capital,Corporate Services,Management / Research & Development,Corporate Real Estate Management,4-Nov-21,6052741,Deloitte LLP,"To provide the Corporate Real Estate Management Division and CreateTO with options and considerations of a future state service delivery model and associated implementation roadmap in alignment with the goals of the City-Wide Real Estate transformation, as articulated in item EX25.9 (2017).","  278,051 "
2022,Capital,Corporate Services,Creative Communications,Corporate Real Estate Management,4-Apr-22,3614505,What El'S Creative,"To provide wayfinding & signage design consulting services, signage application guidance for interior design, peer review and consulting services of proposed layouts and design for Workplace Modernization Standards, in compliance with Canadian Institute of Planners (CIP) and Toronto Accessibility Design Guidelines (TADG). ","  2,900 "
