index,_id,ACCNUM,DATE,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,geometry,ACCIDENT_YEAR
11303,11304,,2015-01-01,624,KEELE ST,COLVILLE RD,,Major Arterial,Etobicoke York,At Intersection,No Control,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Approaching,Driver,20 to 24,Major,,South,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,30,Brookhaven-Amesbury,30,Brookhaven-Amesbury (30),D12,"{""coordinates"": [[-79.4774959999594, 43.7061750003615]], ""type"": ""MultiPoint""}",2015
11304,11305,,2015-01-01,624,KEELE ST,COLVILLE RD,,Major Arterial,Etobicoke York,At Intersection,No Control,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Approaching,Driver,30 to 34,Minor,,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,30,Brookhaven-Amesbury,30,Brookhaven-Amesbury (30),D12,"{""coordinates"": [[-79.4774959999594, 43.7061750003615]], ""type"": ""MultiPoint""}",2015
11305,11306,,2015-01-01,624,KEELE ST,COLVILLE RD,,Major Arterial,Etobicoke York,At Intersection,No Control,Clear,"Dawn, artificial",Dry,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,30,Brookhaven-Amesbury,30,Brookhaven-Amesbury (30),D12,"{""coordinates"": [[-79.4774959999594, 43.7061750003615]], ""type"": ""MultiPoint""}",2015
11306,11307,,2015-01-02,949,2211 ST CLAIR AVE W,,23 m East of,Major Arterial,Etobicoke York,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,60 to 64,Major,,West,"Automobile, Station Wagon",Making U Turn,Improper Turn,Unknown,,,,,,,,,Yes,,Yes,,,,,,,,,90,Junction Area,90,Junction Area (90),D11,"{""coordinates"": [[-79.4751849996918, 43.6708480000015]], ""type"": ""MultiPoint""}",2015
11307,11308,,2015-01-02,949,2211 ST CLAIR AVE W,,23 m East of,Major Arterial,Etobicoke York,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Truck Driver,30 to 34,,,West,"Truck - Closed (Blazer, etc)",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,Yes,,,,,,,,,90,Junction Area,90,Junction Area (90),D11,"{""coordinates"": [[-79.4751849996918, 43.6708480000015]], ""type"": ""MultiPoint""}",2015
11308,11309,,2015-01-02,1830,BAYVIEW AVE,SHEPPARD AVE E,,Major Arterial,North York,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,,,South,"Automobile, Station Wagon",Turning Left,Other,Normal,,,,,,,,,Yes,,,,,Yes,,,,,,52,Bayview Village,52,Bayview Village (52),D33,"{""coordinates"": [[-79.3880419996136, 43.7665769995862]], ""type"": ""MultiPoint""}",2015
11309,11310,,2015-01-02,1830,BAYVIEW AVE,SHEPPARD AVE E,,Major Arterial,North York,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,45 to 49,Major,,North,"Automobile, Station Wagon",Going Ahead,Other,Normal,,,,,,,,,Yes,,,,,Yes,,,,,,52,Bayview Village,52,Bayview Village (52),D33,"{""coordinates"": [[-79.3880419996136, 43.7665769995862]], ""type"": ""MultiPoint""}",2015
11310,11311,,2015-01-02,1830,BAYVIEW AVE,SHEPPARD AVE E,,Major Arterial,North York,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Passenger,5 to 9,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,52,Bayview Village,52,Bayview Village (52),D33,"{""coordinates"": [[-79.3880419996136, 43.7665769995862]], ""type"": ""MultiPoint""}",2015
11311,11312,,2015-01-02,1830,BAYVIEW AVE,SHEPPARD AVE E,,Major Arterial,North York,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Passenger,20 to 24,Minimal,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,52,Bayview Village,52,Bayview Village (52),D33,"{""coordinates"": [[-79.3880419996136, 43.7665769995862]], ""type"": ""MultiPoint""}",2015
11312,11313,,2015-01-02,1830,BAYVIEW AVE,SHEPPARD AVE E,,Major Arterial,North York,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Passenger,20 to 24,Minimal,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,52,Bayview Village,52,Bayview Village (52),D33,"{""coordinates"": [[-79.3880419996136, 43.7665769995862]], ""type"": ""MultiPoint""}",2015
