Disease Category,Disease,Year,Month,Cases
Sexually Transmitted and Bloodborne,AIDS,2024,January,0
Sexually Transmitted and Bloodborne,AIDS,2024,February,2
Sexually Transmitted and Bloodborne,AIDS,2024,March,0
Sexually Transmitted and Bloodborne,AIDS,2024,April,1
Sexually Transmitted and Bloodborne,AIDS,2024,May,0
Sexually Transmitted and Bloodborne,AIDS,2024,June,1
Sexually Transmitted and Bloodborne,AIDS,2024,July,0
Sexually Transmitted and Bloodborne,AIDS,2024,August,1
Sexually Transmitted and Bloodborne,AIDS,2024,September,1
Sexually Transmitted and Bloodborne,AIDS,2024,October,1
Sexually Transmitted and Bloodborne,AIDS,2024,November,1
Sexually Transmitted and Bloodborne,AIDS,2024,December,0
Sexually Transmitted and Bloodborne,HIV,2024,January,48
Sexually Transmitted and Bloodborne,HIV,2024,February,37
Sexually Transmitted and Bloodborne,HIV,2024,March,53
Sexually Transmitted and Bloodborne,HIV,2024,April,46
Sexually Transmitted and Bloodborne,HIV,2024,May,28
Sexually Transmitted and Bloodborne,HIV,2024,June,28
Sexually Transmitted and Bloodborne,HIV,2024,July,43
Sexually Transmitted and Bloodborne,HIV,2024,August,33
Sexually Transmitted and Bloodborne,HIV,2024,September,28
Sexually Transmitted and Bloodborne,HIV,2024,October,41
Sexually Transmitted and Bloodborne,HIV,2024,November,29
Sexually Transmitted and Bloodborne,HIV,2024,December,29
Sexually Transmitted and Bloodborne,Chlamydia,2024,January,"1,411"
Sexually Transmitted and Bloodborne,Chlamydia,2024,February,"1,239"
Sexually Transmitted and Bloodborne,Chlamydia,2024,March,"1,153"
Sexually Transmitted and Bloodborne,Chlamydia,2024,April,"1,204"
Sexually Transmitted and Bloodborne,Chlamydia,2024,May,"1,203"
Sexually Transmitted and Bloodborne,Chlamydia,2024,June,"1,035"
Sexually Transmitted and Bloodborne,Chlamydia,2024,July,"1,153"
Sexually Transmitted and Bloodborne,Chlamydia,2024,August,"1,125"
Sexually Transmitted and Bloodborne,Chlamydia,2024,September,"1,113"
Sexually Transmitted and Bloodborne,Chlamydia,2024,October,"1,241"
Sexually Transmitted and Bloodborne,Chlamydia,2024,November,"1,134"
Sexually Transmitted and Bloodborne,Chlamydia,2024,December,934
Sexually Transmitted and Bloodborne,Gonorrhea,2024,January,669
Sexually Transmitted and Bloodborne,Gonorrhea,2024,February,556
Sexually Transmitted and Bloodborne,Gonorrhea,2024,March,495
Sexually Transmitted and Bloodborne,Gonorrhea,2024,April,542
Sexually Transmitted and Bloodborne,Gonorrhea,2024,May,549
Sexually Transmitted and Bloodborne,Gonorrhea,2024,June,539
Sexually Transmitted and Bloodborne,Gonorrhea,2024,July,697
Sexually Transmitted and Bloodborne,Gonorrhea,2024,August,667
Sexually Transmitted and Bloodborne,Gonorrhea,2024,September,632
Sexually Transmitted and Bloodborne,Gonorrhea,2024,October,696
Sexually Transmitted and Bloodborne,Gonorrhea,2024,November,574
Sexually Transmitted and Bloodborne,Gonorrhea,2024,December,452
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,January,49
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,February,53
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,March,58
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,April,44
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,May,33
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,June,48
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,July,41
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,August,40
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,September,43
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,October,42
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,November,46
Sexually Transmitted and Bloodborne,Hepatitis B Carriers,2024,December,28
Sexually Transmitted and Bloodborne,Hepatitis C,2024,January,46
Sexually Transmitted and Bloodborne,Hepatitis C,2024,February,45
Sexually Transmitted and Bloodborne,Hepatitis C,2024,March,52
Sexually Transmitted and Bloodborne,Hepatitis C,2024,April,41
Sexually Transmitted and Bloodborne,Hepatitis C,2024,May,52
Sexually Transmitted and Bloodborne,Hepatitis C,2024,June,41
Sexually Transmitted and Bloodborne,Hepatitis C,2024,July,30
Sexually Transmitted and Bloodborne,Hepatitis C,2024,August,47
Sexually Transmitted and Bloodborne,Hepatitis C,2024,September,35
Sexually Transmitted and Bloodborne,Hepatitis C,2024,October,40
Sexually Transmitted and Bloodborne,Hepatitis C,2024,November,31
Sexually Transmitted and Bloodborne,Hepatitis C,2024,December,10
Sexually Transmitted and Bloodborne,Syphilis,2024,January,176
Sexually Transmitted and Bloodborne,Syphilis,2024,February,185
Sexually Transmitted and Bloodborne,Syphilis,2024,March,182
Sexually Transmitted and Bloodborne,Syphilis,2024,April,165
Sexually Transmitted and Bloodborne,Syphilis,2024,May,179
Sexually Transmitted and Bloodborne,Syphilis,2024,June,170
Sexually Transmitted and Bloodborne,Syphilis,2024,July,140
Sexually Transmitted and Bloodborne,Syphilis,2024,August,145
Sexually Transmitted and Bloodborne,Syphilis,2024,September,147
Sexually Transmitted and Bloodborne,Syphilis,2024,October,133
Sexually Transmitted and Bloodborne,Syphilis,2024,November,124
Sexually Transmitted and Bloodborne,Syphilis,2024,December,106
Direct Contact and Respiratory,Group A Streptococcal disease,2024,January,32
Direct Contact and Respiratory,Group A Streptococcal disease,2024,February,40
Direct Contact and Respiratory,Group A Streptococcal disease,2024,March,37
Direct Contact and Respiratory,Group A Streptococcal disease,2024,April,33
Direct Contact and Respiratory,Group A Streptococcal disease,2024,May,34
Direct Contact and Respiratory,Group A Streptococcal disease,2024,June,16
Direct Contact and Respiratory,Group A Streptococcal disease,2024,July,14
Direct Contact and Respiratory,Group A Streptococcal disease,2024,August,14
Direct Contact and Respiratory,Group A Streptococcal disease,2024,September,16
Direct Contact and Respiratory,Group A Streptococcal disease,2024,October,16
Direct Contact and Respiratory,Group A Streptococcal disease,2024,November,15
Direct Contact and Respiratory,Group A Streptococcal disease,2024,December,25
Direct Contact and Respiratory,Pneumococcal disease,2024,January,28
Direct Contact and Respiratory,Pneumococcal disease,2024,February,39
Direct Contact and Respiratory,Pneumococcal disease,2024,March,29
Direct Contact and Respiratory,Pneumococcal disease,2024,April,30
Direct Contact and Respiratory,Pneumococcal disease,2024,May,21
Direct Contact and Respiratory,Pneumococcal disease,2024,June,8
Direct Contact and Respiratory,Pneumococcal disease,2024,July,17
Direct Contact and Respiratory,Pneumococcal disease,2024,August,12
Direct Contact and Respiratory,Pneumococcal disease,2024,September,18
Direct Contact and Respiratory,Pneumococcal disease,2024,October,28
Direct Contact and Respiratory,Pneumococcal disease,2024,November,13
Direct Contact and Respiratory,Pneumococcal disease,2024,December,30
Direct Contact and Respiratory,Tuberculosis,2024,January,25
Direct Contact and Respiratory,Tuberculosis,2024,February,27
Direct Contact and Respiratory,Tuberculosis,2024,March,27
Direct Contact and Respiratory,Tuberculosis,2024,April,31
Direct Contact and Respiratory,Tuberculosis,2024,May,45
Direct Contact and Respiratory,Tuberculosis,2024,June,39
Direct Contact and Respiratory,Tuberculosis,2024,July,36
Direct Contact and Respiratory,Tuberculosis,2024,August,30
Direct Contact and Respiratory,Tuberculosis,2024,September,37
Direct Contact and Respiratory,Tuberculosis,2024,October,37
Direct Contact and Respiratory,Tuberculosis,2024,November,25
Direct Contact and Respiratory,Tuberculosis,2024,December,17
Sexually Transmitted and Bloodborne,AIDS,2023,January,2
Sexually Transmitted and Bloodborne,AIDS,2023,February,1
Sexually Transmitted and Bloodborne,AIDS,2023,March,2
Sexually Transmitted and Bloodborne,AIDS,2023,April,1
Sexually Transmitted and Bloodborne,AIDS,2023,May,5
Sexually Transmitted and Bloodborne,AIDS,2023,June,2
Sexually Transmitted and Bloodborne,AIDS,2023,July,3
Sexually Transmitted and Bloodborne,AIDS,2023,August,1
Sexually Transmitted and Bloodborne,AIDS,2023,September,0
Sexually Transmitted and Bloodborne,AIDS,2023,October,0
Sexually Transmitted and Bloodborne,AIDS,2023,November,0
Sexually Transmitted and Bloodborne,AIDS,2023,December,0
Sexually Transmitted and Bloodborne,HIV,2023,January,56
Sexually Transmitted and Bloodborne,HIV,2023,February,54
Sexually Transmitted and Bloodborne,HIV,2023,March,55
Sexually Transmitted and Bloodborne,HIV,2023,April,47
Sexually Transmitted and Bloodborne,HIV,2023,May,75
Sexually Transmitted and Bloodborne,HIV,2023,June,70
Sexually Transmitted and Bloodborne,HIV,2023,July,71
Sexually Transmitted and Bloodborne,HIV,2023,August,71
Sexually Transmitted and Bloodborne,HIV,2023,September,47
Sexually Transmitted and Bloodborne,HIV,2023,October,78
Sexually Transmitted and Bloodborne,HIV,2023,November,60
Sexually Transmitted and Bloodborne,HIV,2023,December,48
Sexually Transmitted and Bloodborne,Chlamydia,2023,January,"1,018"
Sexually Transmitted and Bloodborne,Chlamydia,2023,February,881
Sexually Transmitted and Bloodborne,Chlamydia,2023,March,"1,131"
Sexually Transmitted and Bloodborne,Chlamydia,2023,April,"1,011"
Sexually Transmitted and Bloodborne,Chlamydia,2023,May,"1,150"
Sexually Transmitted and Bloodborne,Chlamydia,2023,June,"1,310"
Sexually Transmitted and Bloodborne,Chlamydia,2023,July,"1,289"
Sexually Transmitted and Bloodborne,Chlamydia,2023,August,"1,310"
